Date,Open,High,Low,Close,Volume,Adj Close
2016-12-14,41.439999,41.529999,40.830002,40.91,19296600,40.91
2016-12-13,41.349998,41.790001,41.139999,41.470001,6500400,41.470001
2016-12-12,41.450001,41.529999,41.130001,41.299999,4451500,41.299999
2016-12-09,41.52,41.799999,41.439999,41.759998,6836000,41.759998
2016-12-08,40.66,41.599998,40.419998,41.41,9169400,41.41
2016-12-07,39.98,40.57,39.75,40.52,7199000,40.52
2016-12-06,40.310001,40.419998,39.880001,39.970001,6943800,39.970001
2016-12-05,40.02,40.389999,39.849998,40.200001,4401700,40.200001
2016-12-02,39.77,40.32,39.580002,40.07,8568100,40.07
2016-12-01,41.00,41.040001,39.529999,39.630001,12614600,39.630001
2016-11-30,41.619999,41.669998,40.880001,41.02,7624500,41.02
2016-11-29,41.43,41.830002,41.119999,41.599998,7246100,41.599998
2016-11-28,40.849998,41.700001,40.740002,41.450001,6765800,41.450001
2016-11-25,41.080002,41.080002,40.709999,40.869999,2586900,40.869999
2016-11-23,40.91,40.98,40.549999,40.959999,3634900,40.959999
2016-11-22,41.200001,41.400002,40.830002,41.009998,8881200,41.009998
2016-11-21,41.439999,41.48,40.939999,41.110001,11338000,41.110001
2016-11-18,41.48,41.650002,40.900002,41.189999,8129700,41.189999
2016-11-17,41.34,41.650002,41.200001,41.450001,8689300,41.450001
2016-11-16,40.099998,41.049999,40.099998,40.98,15592700,40.98
2016-11-15,39.610001,40.450001,39.580002,40.209999,10851400,40.209999
