Date,Open,High,Low,Close,Volume,Adj Close
2016-12-14,2268.350098,2276.199951,2248.439941,2253.280029,4406970000,2253.280029
2016-12-13,2263.320068,2277.530029,2263.320068,2271.719971,3857590000,2271.719971
2016-12-12,2258.830078,2264.030029,2252.370117,2256.959961,4034510000,2256.959961
2016-12-09,2249.72998,2259.800049,2249.22998,2259.530029,3884480000,2259.530029
2016-12-08,2241.129883,2251.689941,2237.570068,2246.189941,4200580000,2246.189941
2016-12-07,2210.719971,2241.629883,2208.929932,2241.350098,4501820000,2241.350098
2016-12-06,2207.26001,2212.780029,2202.209961,2212.22998,3855320000,2212.22998
2016-12-05,2200.649902,2209.419922,2199.969971,2204.709961,3895230000,2204.709961
2016-12-02,2191.120117,2197.949951,2188.370117,2191.949951,3779500000,2191.949951
2016-12-01,2200.169922,2202.600098,2187.439941,2191.080078,5063740000,2191.080078
2016-11-30,2204.969971,2214.100098,2198.810059,2198.810059,5533980000,2198.810059
2016-11-29,2200.76001,2210.459961,2198.149902,2204.659912,3706560000,2204.659912
2016-11-28,2210.209961,2211.139893,2200.360107,2201.719971,3505650000,2201.719971
2016-11-25,2206.27002,2213.350098,2206.27002,2213.350098,1584600000,2213.350098
2016-11-23,2198.550049,2204.719971,2194.51001,2204.719971,3418640000,2204.719971
2016-11-22,2201.560059,2204.800049,2194.51001,2202.939941,3957940000,2202.939941
2016-11-21,2186.429932,2198.699951,2186.429932,2198.179932,3607010000,2198.179932
2016-11-18,2186.850098,2189.889893,2180.379883,2181.899902,3572400000,2181.899902
2016-11-17,2178.610107,2188.060059,2176.649902,2187.120117,3809160000,2187.120117
2016-11-16,2177.530029,2179.219971,2172.199951,2176.939941,3830590000,2176.939941
2016-11-15,2168.290039,2180.840088,2166.379883,2180.389893,4543860000,2180.389893
